source_type	feature_set	display_label	fold_record	balanced_accuracy
logistic_regression_outer_fold	residue_ligand	Residue–ligand	1.0	0.7272727272727273
logistic_regression_outer_fold	residue_ligand	Residue–ligand	2.0	0.7166666666666667
logistic_regression_outer_fold	residue_ligand	Residue–ligand	3.0	0.55
logistic_regression_outer_fold	residue_ligand	Residue–ligand	4.0	0.3818181818181818
logistic_regression_outer_fold	residue_ligand	Residue–ligand	5.0	0.7090909090909091
logistic_regression_outer_fold	residue_ligand	Residue–ligand	6.0	0.4015151515151515
logistic_regression_outer_fold	residue_ligand	Residue–ligand	7.0	0.5916666666666667
logistic_regression_outer_fold	residue_ligand	Residue–ligand	8.0	0.7083333333333334
logistic_regression_outer_fold	residue_ligand	Residue–ligand	9.0	0.6545454545454545
logistic_regression_outer_fold	residue_ligand	Residue–ligand	10.0	0.6272727272727273
logistic_regression_outer_fold	residue_ligand	Residue–ligand	11.0	0.5227272727272727
logistic_regression_outer_fold	residue_ligand	Residue–ligand	12.0	0.4916666666666667
logistic_regression_outer_fold	residue_ligand	Residue–ligand	13.0	0.5666666666666667
logistic_regression_outer_fold	residue_ligand	Residue–ligand	14.0	0.8090909090909091
logistic_regression_outer_fold	residue_ligand	Residue–ligand	15.0	0.5181818181818182
logistic_regression_outer_fold	residue_ligand	Residue–ligand	16.0	0.7424242424242424
logistic_regression_outer_fold	residue_ligand	Residue–ligand	17.0	0.4333333333333333
logistic_regression_outer_fold	residue_ligand	Residue–ligand	18.0	0.55
logistic_regression_outer_fold	residue_ligand	Residue–ligand	19.0	0.6181818181818182
logistic_regression_outer_fold	residue_ligand	Residue–ligand	20.0	0.5363636363636364
logistic_regression_outer_fold	residue_ligand	Residue–ligand	21.0	0.4772727272727273
logistic_regression_outer_fold	residue_ligand	Residue–ligand	22.0	0.65
logistic_regression_outer_fold	residue_ligand	Residue–ligand	23.0	0.4333333333333333
logistic_regression_outer_fold	residue_ligand	Residue–ligand	24.0	0.4727272727272727
logistic_regression_outer_fold	residue_ligand	Residue–ligand	25.0	0.6818181818181819
logistic_regression_outer_fold	residue_cofactor	Residue–GTP	1.0	0.5757575757575758
logistic_regression_outer_fold	residue_cofactor	Residue–GTP	2.0	0.4666666666666667
logistic_regression_outer_fold	residue_cofactor	Residue–GTP	3.0	0.45
logistic_regression_outer_fold	residue_cofactor	Residue–GTP	4.0	0.6636363636363636
logistic_regression_outer_fold	residue_cofactor	Residue–GTP	5.0	0.5181818181818182
logistic_regression_outer_fold	residue_cofactor	Residue–GTP	6.0	0.696969696969697
logistic_regression_outer_fold	residue_cofactor	Residue–GTP	7.0	0.65
logistic_regression_outer_fold	residue_cofactor	Residue–GTP	8.0	0.7333333333333334
logistic_regression_outer_fold	residue_cofactor	Residue–GTP	9.0	0.4272727272727272
logistic_regression_outer_fold	residue_cofactor	Residue–GTP	10.0	0.7181818181818183
logistic_regression_outer_fold	residue_cofactor	Residue–GTP	11.0	0.6515151515151515
logistic_regression_outer_fold	residue_cofactor	Residue–GTP	12.0	0.5083333333333333
logistic_regression_outer_fold	residue_cofactor	Residue–GTP	13.0	0.6333333333333333
logistic_regression_outer_fold	residue_cofactor	Residue–GTP	14.0	0.8636363636363636
logistic_regression_outer_fold	residue_cofactor	Residue–GTP	15.0	0.6727272727272727
logistic_regression_outer_fold	residue_cofactor	Residue–GTP	16.0	0.4469696969696969
logistic_regression_outer_fold	residue_cofactor	Residue–GTP	17.0	0.4916666666666667
logistic_regression_outer_fold	residue_cofactor	Residue–GTP	18.0	0.6083333333333334
logistic_regression_outer_fold	residue_cofactor	Residue–GTP	19.0	0.4272727272727272
logistic_regression_outer_fold	residue_cofactor	Residue–GTP	20.0	0.4181818181818182
logistic_regression_outer_fold	residue_cofactor	Residue–GTP	21.0	0.6515151515151515
logistic_regression_outer_fold	residue_cofactor	Residue–GTP	22.0	0.475
logistic_regression_outer_fold	residue_cofactor	Residue–GTP	23.0	0.675
logistic_regression_outer_fold	residue_cofactor	Residue–GTP	24.0	0.7181818181818183
logistic_regression_outer_fold	residue_cofactor	Residue–GTP	25.0	0.7090909090909091
logistic_regression_outer_fold	residue_residue	Residue–residue	1.0	0.4848484848484848
logistic_regression_outer_fold	residue_residue	Residue–residue	2.0	0.8583333333333334
logistic_regression_outer_fold	residue_residue	Residue–residue	3.0	0.675
logistic_regression_outer_fold	residue_residue	Residue–residue	4.0	0.6
logistic_regression_outer_fold	residue_residue	Residue–residue	5.0	0.4727272727272727
logistic_regression_outer_fold	residue_residue	Residue–residue	6.0	0.606060606060606
logistic_regression_outer_fold	residue_residue	Residue–residue	7.0	0.7583333333333333
logistic_regression_outer_fold	residue_residue	Residue–residue	8.0	0.8583333333333334
logistic_regression_outer_fold	residue_residue	Residue–residue	9.0	0.7090909090909091
logistic_regression_outer_fold	residue_residue	Residue–residue	10.0	0.5727272727272728
logistic_regression_outer_fold	residue_residue	Residue–residue	11.0	0.6590909090909092
logistic_regression_outer_fold	residue_residue	Residue–residue	12.0	0.8166666666666667
logistic_regression_outer_fold	residue_residue	Residue–residue	13.0	0.6916666666666667
logistic_regression_outer_fold	residue_residue	Residue–residue	14.0	0.5272727272727272
logistic_regression_outer_fold	residue_residue	Residue–residue	15.0	0.5181818181818182
logistic_regression_outer_fold	residue_residue	Residue–residue	16.0	0.7348484848484849
logistic_regression_outer_fold	residue_residue	Residue–residue	17.0	0.675
logistic_regression_outer_fold	residue_residue	Residue–residue	18.0	0.4333333333333333
logistic_regression_outer_fold	residue_residue	Residue–residue	19.0	0.6181818181818182
logistic_regression_outer_fold	residue_residue	Residue–residue	20.0	0.6090909090909091
logistic_regression_outer_fold	residue_residue	Residue–residue	21.0	0.5227272727272727
