feature_set	outer_repeat	outer_fold	outer_split	n_input_features	n_after_variance	n_selected_features	best_k	best_c	best_inner_balanced_accuracy	inner_splits	inner_random_state	fit_seconds
residue_ligand	1	1	1	21	21	21	all	0.01	0.5745039682539682	3	43	1.408863642005599
residue_ligand	1	2	2	21	21	4	4	0.01	0.5746031746031747	3	44	1.4360902640037239
residue_ligand	1	3	3	21	21	12	12	0.01	0.5984126984126984	3	45	1.4264600679962314
residue_ligand	1	4	4	21	21	4	4	10.0	0.751984126984127	3	46	1.4018008959974395
residue_ligand	1	5	5	21	21	21	all	0.01	0.6114087301587302	3	47	1.417012222998892
residue_cofactor	1	1	1	83	77	40	40	1.0	0.6126984126984127	3	43	1.9303086729996721
residue_cofactor	1	2	2	83	77	20	20	100.0	0.5952380952380952	3	44	2.0044077649945393
residue_cofactor	1	3	3	83	77	10	10	0.1	0.7603174603174603	3	45	1.8906539310046355
residue_cofactor	1	4	4	83	77	5	5	0.1	0.6976190476190477	3	46	1.9613492409989703
residue_cofactor	1	5	5	83	77	77	all	100.0	0.5635912698412698	3	47	2.0167414550014655
residue_residue	1	1	1	3982	3971	5	5	0.01	0.7226190476190476	3	43	8.757904373000201
residue_residue	1	2	2	3982	3970	5	5	100.0	0.6968253968253969	3	44	8.932334640005138
residue_residue	1	3	3	3982	3971	50	50	100.0	0.5603174603174602	3	45	9.157385612001235
residue_residue	1	4	4	3982	3971	50	50	1.0	0.5985119047619047	3	46	8.550222061996465
residue_residue	1	5	5	3982	3971	5	5	10.0	0.6671626984126985	3	47	8.613789698996698
combined_all	1	1	1	4086	4069	5	5	0.01	0.7226190476190476	3	43	8.731270010997832
combined_all	1	2	2	4086	4068	20	20	1.0	0.6984126984126985	3	44	8.724825436998799
combined_all	1	3	3	4086	4069	20	20	100.0	0.6063492063492063	3	45	8.794637979000981
combined_all	1	4	4	4086	4069	50	50	0.01	0.6293650793650793	3	46	8.621898270997917
combined_all	1	5	5	4086	4069	10	10	1.0	0.5526785714285714	3	47	8.659029044996714
