model_type	feature_set	outer_repeat	outer_fold	outer_split	n_train	n_test	n_train_low	n_train_high	n_test_low	n_test_high	n_input_features	n_after_variance	n_selected_features	best_k	best_c	best_inner_balanced_accuracy	fit_seconds	accuracy	balanced_accuracy	roc_auc_low	precision_low	recall_low	f1_low	mcc	true_low_pred_low	true_low_pred_high	true_high_pred_low	true_high_pred_high
logistic_regression	residue_ligand	1	1	1	66	17	20	46	6	11	21	21	21	all	0.01	0.5745039682539682	1.408863642005599	0.6470588235294118	0.7272727272727273	0.9090909090909091	0.5	1.0	0.6666666666666666	0.4767312946227961	6	0	6	5
logistic_regression	residue_ligand	1	2	2	66	17	21	45	5	12	21	21	4	4	0.01	0.5746031746031747	1.4360902640037239	0.7058823529411765	0.675	0.6333333333333333	0.5	0.6	0.5454545454545454	0.3337119062359573	3	2	3	9
logistic_regression	residue_ligand	1	3	3	66	17	21	45	5	12	21	21	12	12	0.01	0.5984126984126984	1.4264600679962314	0.47058823529411764	0.5083333333333333	0.6	0.3	0.6	0.4	0.015430334996209192	3	2	7	5
logistic_regression	residue_ligand	1	4	4	67	16	21	46	5	11	21	21	4	4	10.0	0.751984126984127	1.4018008959974395	0.375	0.38181818181818183	0.2727272727272727	0.2222222222222222	0.4	0.2857142857142857	-0.22084711628963774	2	3	7	4
logistic_regression	residue_ligand	1	5	5	67	16	21	46	5	11	21	21	21	all	0.01	0.6114087301587302	1.417012222998892	0.75	0.7636363636363637	0.7818181818181819	0.5714285714285714	0.8	0.6666666666666666	0.49265895172303803	4	1	3	8
logistic_regression	residue_cofactor	1	1	1	66	17	20	46	6	11	83	77	40	40	1.0	0.6126984126984127	1.9303086729996721	0.6470588235294118	0.6136363636363636	0.5303030303030303	0.5	0.5	0.5	0.22727272727272727	3	3	3	8
logistic_regression	residue_cofactor	1	2	2	66	17	21	45	5	12	83	77	20	20	100.0	0.5952380952380952	2.0044077649945393	0.47058823529411764	0.5083333333333333	0.4833333333333334	0.3	0.6	0.4	0.015430334996209192	3	2	7	5
logistic_regression	residue_cofactor	1	3	3	66	17	21	45	5	12	83	77	10	10	0.1	0.7603174603174603	1.8906539310046355	0.5294117647058824	0.6083333333333334	0.5	0.36363636363636365	0.8	0.5	0.20658356100321165	4	1	7	5
logistic_regression	residue_cofactor	1	4	4	67	16	21	46	5	11	83	77	5	5	0.1	0.6976190476190477	1.9613492409989703	0.625	0.6181818181818182	0.4909090909090909	0.42857142857142855	0.6	0.5	0.22084711628963774	3	2	4	7
logistic_regression	residue_cofactor	1	5	5	67	16	21	46	5	11	83	77	77	all	100.0	0.5635912698412698	2.0167414550014655	0.5625	0.5181818181818182	0.5636363636363636	0.3333333333333333	0.4	0.36363636363636365	0.034815531191139566	2	3	4	7
logistic_regression	residue_residue	1	1	1	66	17	20	46	6	11	3982	3971	5	5	0.01	0.7226190476190476	8.757904373000201	0.7058823529411765	0.696969696969697	0.803030303030303	0.5714285714285714	0.6666666666666666	0.6153846153846154	0.3825184261187248	4	2	3	8
logistic_regression	residue_residue	1	2	2	66	17	21	45	5	12	3982	3970	5	5	100.0	0.6968253968253969	8.932334640005138	0.8823529411764706	0.8583333333333334	0.8166666666666667	0.8	0.8	0.8	0.7166666666666667	4	1	1	11
logistic_regression	residue_residue	1	3	3	66	17	21	45	5	12	3982	3971	50	50	100.0	0.5603174603174602	9.157385612001235	0.6470588235294118	0.6333333333333333	0.7833333333333333	0.42857142857142855	0.6	0.5	0.24688535993934707	3	2	4	8
logistic_regression	residue_residue	1	4	4	67	16	21	46	5	11	3982	3971	50	50	1.0	0.5985119047619047	8.550222061996465	0.75	0.6	0.4	1.0	0.2	0.3333333333333333	0.38297084310253526	1	4	0	11
logistic_regression	residue_residue	1	5	5	67	16	21	46	5	11	3982	3971	5	5	10.0	0.6671626984126985	8.613789698996698	0.5	0.4727272727272727	0.6363636363636364	0.2857142857142857	0.4	0.3333333333333333	-0.050964719143762556	2	3	5	6
logistic_regression	combined_all	1	1	1	66	17	20	46	6	11	4086	4069	5	5	0.01	0.7226190476190476	8.731270010997832	0.7058823529411765	0.696969696969697	0.803030303030303	0.5714285714285714	0.6666666666666666	0.6153846153846154	0.3825184261187248	4	2	3	8
logistic_regression	combined_all	1	2	2	66	17	21	45	5	12	4086	4068	20	20	1.0	0.6984126984126985	8.724825436998799	0.6470588235294118	0.6916666666666667	0.7500000000000001	0.4444444444444444	0.8	0.5714285714285714	0.34993385618385614	4	1	5	7
logistic_regression	combined_all	1	3	3	66	17	21	45	5	12	4086	4069	20	20	100.0	0.6063492063492063	8.794637979000981	0.7058823529411765	0.7333333333333334	0.8166666666666668	0.5	0.8	0.6153846153846154	0.42600643361512924	4	1	4	8
logistic_regression	combined_all	1	4	4	67	16	21	46	5	11	4086	4069	50	50	0.01	0.6293650793650793	8.621898270997917	0.5625	0.5181818181818182	0.49090909090909096	0.3333333333333333	0.4	0.36363636363636365	0.034815531191139566	2	3	4	7
logistic_regression	combined_all	1	5	5	67	16	21	46	5	11	4086	4069	10	10	1.0	0.5526785714285714	8.659029044996714	0.625	0.6181818181818182	0.6909090909090909	0.42857142857142855	0.6	0.5	0.22084711628963774	3	2	4	7
