model_type	feature_set	outer_repeat	outer_fold	outer_split	n_train	n_test	n_train_low	n_train_high	n_test_low	n_test_high	n_input_features	n_after_variance	n_selected_features	best_k	best_c	best_inner_balanced_accuracy	fit_seconds	accuracy	balanced_accuracy	roc_auc_low	precision_low	recall_low	f1_low	mcc	true_low_pred_low	true_low_pred_high	true_high_pred_low	true_high_pred_high
logistic_regression	residue_ligand	1	1	1	66	17	20	46	6	11	21	21	21	all	0.01	0.5961111111111111	4.402391367002565	0.6470588235294118	0.7272727272727273	0.9090909090909091	0.5	1.0	0.6666666666666666	0.4767312946227961	6	0	6	5
logistic_regression	residue_ligand	1	2	2	66	17	21	45	5	12	21	21	21	all	0.01	0.61	1.2419897639992996	0.7647058823529411	0.7166666666666667	0.6833333333333333	0.6	0.6	0.6	0.43333333333333335	3	2	2	10
logistic_regression	residue_ligand	1	3	3	66	17	21	45	5	12	21	21	4	4	0.01	0.6622222222222222	1.2466573950005113	0.5294117647058824	0.55	0.6166666666666667	0.3333333333333333	0.6	0.42857142857142855	0.09128709291752769	3	2	6	6
logistic_regression	residue_ligand	1	4	4	67	16	21	46	5	11	21	21	21	all	0.1	0.7466666666666667	1.2543184780006413	0.375	0.38181818181818183	0.509090909090909	0.2222222222222222	0.4	0.2857142857142857	-0.22084711628963774	2	3	7	4
logistic_regression	residue_ligand	1	5	5	67	16	21	46	5	11	21	21	12	12	0.1	0.6366666666666667	1.2687906149949413	0.75	0.7090909090909091	0.7090909090909092	0.6	0.6	0.6	0.41818181818181815	3	2	2	9
logistic_regression	residue_ligand	2	1	6	66	17	20	46	6	11	21	21	21	all	100.0	0.6322222222222222	1.2604400339987478	0.47058823529411764	0.4015151515151515	0.4696969696969697	0.2	0.16666666666666666	0.18181818181818182	-0.20658356100321165	1	5	4	7
logistic_regression	residue_ligand	2	2	7	66	17	21	45	5	12	21	21	4	4	0.01	0.6677777777777777	1.229219328997715	0.5882352941176471	0.5916666666666667	0.5333333333333333	0.375	0.6	0.46153846153846156	0.16735967034880075	3	2	5	7
logistic_regression	residue_ligand	2	3	8	66	17	21	45	5	12	21	21	12	12	0.01	0.6572222222222222	1.238398009998491	0.5882352941176471	0.7083333333333334	0.8	0.4166666666666667	1.0	0.5882352941176471	0.4166666666666667	5	0	7	5
logistic_regression	residue_ligand	2	4	9	67	16	21	46	5	11	21	21	4	4	1.0	0.6755555555555556	1.2274005350045627	0.75	0.6545454545454545	0.4363636363636364	0.6666666666666666	0.4	0.5	0.3670584895244009	2	3	1	10
logistic_regression	residue_ligand	2	5	10	67	16	21	46	5	11	21	21	12	12	0.01	0.6744444444444444	1.256176806993608	0.5625	0.6272727272727273	0.6363636363636364	0.4	0.8	0.5333333333333333	0.24370871833797697	4	1	6	5
logistic_regression	residue_ligand	3	1	11	66	17	20	46	6	11	21	21	21	all	0.1	0.6905555555555555	1.2709143480024068	0.5294117647058824	0.5227272727272727	0.5606060606060606	0.375	0.5	0.42857142857142855	0.04351941398892446	3	3	5	6
logistic_regression	residue_ligand	3	2	12	66	17	21	45	5	12	21	21	21	all	0.1	0.6911111111111111	1.2944843669974944	0.5294117647058824	0.4916666666666667	0.5	0.2857142857142857	0.4	0.3333333333333333	-0.015430334996209192	2	3	5	7
logistic_regression	residue_ligand	3	3	13	66	17	21	45	5	12	21	21	21	all	0.01	0.7050000000000001	1.2442040200039628	0.47058823529411764	0.5666666666666667	0.7166666666666667	0.3333333333333333	0.8	0.47058823529411764	0.13333333333333333	4	1	8	4
logistic_regression	residue_ligand	3	4	14	67	16	21	46	5	11	21	21	12	12	0.1	0.6205555555555555	1.3913264669972705	0.8125	0.8090909090909091	0.8363636363636363	0.6666666666666666	0.8	0.7272727272727273	0.5918640302493726	4	1	2	9
logistic_regression	residue_ligand	3	5	15	67	16	21	46	5	11	21	21	4	4	0.01	0.5927777777777777	1.2551651169997058	0.5625	0.5181818181818182	0.6	0.3333333333333333	0.4	0.36363636363636365	0.034815531191139566	2	3	4	7
logistic_regression	residue_ligand	4	1	16	66	17	20	46	6	11	21	21	12	12	0.1	0.6411111111111111	1.3091264059985406	0.7647058823529411	0.7424242424242424	0.696969696969697	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.48484848484848486	4	2	2	9
