permutation_id	feature_set	outer_split	n_train	n_test	n_train_low	n_train_high	n_test_low	n_test_high	best_k	best_c	best_inner_balanced_accuracy	balanced_accuracy	roc_auc_low	mcc
1	residue_ligand	1	66	17	20	46	6	11	4	10.0	0.6742063492063491	0.4015151515151515	0.33333333333333337	-0.20658356100321165
1	residue_ligand	2	66	17	21	45	5	12	4	1.0	0.6222222222222222	0.525	0.5666666666666667	0.053708615552957466
1	residue_ligand	3	66	17	21	45	5	12	8	0.01	0.5761904761904761	0.55	0.5666666666666667	0.09128709291752769
1	residue_ligand	4	67	16	21	46	5	11	12	0.1	0.48948412698412697	0.5272727272727272	0.509090909090909	0.050964719143762556
1	residue_ligand	5	67	16	21	46	5	11	8	1.0	0.5801587301587302	0.5636363636363637	0.4909090909090909	0.12727272727272726
1	residue_cofactor	1	66	17	20	46	6	11	20	1.0	0.4757936507936507	0.3939393939393939	0.5151515151515151	-0.2030905986149808
1	residue_cofactor	2	66	17	21	45	5	12	5	10.0	0.5126984126984127	0.5333333333333333	0.4	0.06356417261637282
1	residue_cofactor	3	66	17	21	45	5	12	10	0.01	0.48095238095238096	0.6333333333333333	0.7	0.24688535993934707
1	residue_cofactor	4	67	16	21	46	5	11	20	0.01	0.6002976190476191	0.4818181818181818	0.5454545454545455	-0.034815531191139566
1	residue_cofactor	5	67	16	21	46	5	11	5	10.0	0.6046626984126984	0.4181818181818182	0.4727272727272728	-0.16363636363636364
1	residue_residue	1	66	17	20	46	6	11	10	0.01	0.4619047619047619	0.5757575757575758	0.36363636363636365	0.1706971854997297
1	residue_residue	2	66	17	21	45	5	12	5	100.0	0.4317460317460317	0.5916666666666667	0.4333333333333333	0.16735967034880075
1	residue_residue	3	66	17	21	45	5	12	5	1.0	0.4873015873015873	0.575	0.38333333333333336	0.15
1	residue_residue	4	67	16	21	46	5	11	50	0.01	0.5660714285714284	0.38181818181818183	0.3090909090909091	-0.22084711628963774
1	residue_residue	5	67	16	21	46	5	11	5	100.0	0.6241071428571429	0.5636363636363637	0.43636363636363634	0.12727272727272726
1	combined_all	1	66	17	20	46	6	11	10	0.01	0.47301587301587306	0.5757575757575758	0.36363636363636365	0.1706971854997297
1	combined_all	2	66	17	21	45	5	12	5	100.0	0.4682539682539682	0.5916666666666667	0.4333333333333333	0.16735967034880075
1	combined_all	3	66	17	21	45	5	12	5	1.0	0.4873015873015873	0.575	0.38333333333333336	0.15
1	combined_all	4	67	16	21	46	5	11	50	0.1	0.5749007936507936	0.32727272727272727	0.2727272727272727	-0.32277655457716287
1	combined_all	5	67	16	21	46	5	11	5	100.0	0.6241071428571429	0.5636363636363637	0.43636363636363634	0.12727272727272726
2	residue_ligand	1	66	17	21	45	5	12	8	0.1	0.6523809523809524	0.43333333333333335	0.35	-0.13333333333333333
2	residue_ligand	2	66	17	21	45	5	12	all	0.1	0.5492063492063491	0.575	0.7333333333333334	0.15
2	residue_ligand	3	66	17	20	46	6	11	12	100.0	0.6356150793650793	0.48484848484848486	0.5303030303030303	-0.030303030303030304
2	residue_ligand	4	67	16	21	46	5	11	8	0.01	0.5071428571428571	0.6181818181818182	0.6727272727272727	0.22084711628963774
2	residue_ligand	5	67	16	21	46	5	11	all	10.0	0.5978174603174603	0.4727272727272727	0.4181818181818182	-0.050964719143762556
2	residue_cofactor	1	66	17	21	45	5	12	10	0.01	0.5492063492063491	0.4083333333333333	0.21666666666666667	-0.16735967034880075
2	residue_cofactor	2	66	17	21	45	5	12	all	100.0	0.46349206349206346	0.4083333333333333	0.4666666666666667	-0.16735967034880075
2	residue_cofactor	3	66	17	20	46	6	11	40	0.1	0.5049603174603174	0.43939393939393934	0.42424242424242425	-0.11769797726729993
2	residue_cofactor	4	67	16	21	46	5	11	20	0.01	0.46359126984126986	0.42727272727272725	0.3818181818181818	-0.13483997249264842
2	residue_cofactor	5	67	16	21	46	5	11	10	0.01	0.6395833333333334	0.42727272727272725	0.32727272727272727	-0.13483997249264842
2	residue_residue	1	66	17	21	45	5	12	50	0.1	0.6158730158730158	0.6333333333333333	0.43333333333333335	0.24688535993934707
2	residue_residue	2	66	17	21	45	5	12	50	0.01	0.5984126984126984	0.6333333333333333	0.7166666666666667	0.24688535993934707
2	residue_residue	3	66	17	20	46	6	11	50	0.01	0.5375	0.6136363636363636	0.6515151515151514	0.22727272727272727
2	residue_residue	4	67	16	21	46	5	11	50	1.0	0.5985119047619047	0.5181818181818182	0.43636363636363634	0.034815531191139566
2	residue_residue	5	67	16	21	46	5	11	50	0.01	0.5200396825396826	0.6636363636363636	0.6181818181818182	0.3133397807202561
2	combined_all	1	66	17	21	45	5	12	50	1.0	0.5920634920634921	0.5333333333333333	0.4166666666666667	0.06356417261637282
2	combined_all	2	66	17	21	45	5	12	50	0.1	0.5984126984126984	0.6333333333333333	0.6833333333333333	0.24688535993934707
2	combined_all	3	66	17	20	46	6	11	10	100.0	0.48412698412698413	0.48484848484848486	0.48484848484848486	-0.030303030303030304
2	combined_all	4	67	16	21	46	5	11	5	10.0	0.5837301587301588	0.6181818181818182	0.6181818181818182	0.22084711628963774
2	combined_all	5	67	16	21	46	5	11	10	100.0	0.5392857142857143	0.7090909090909091	0.6909090909090909	0.41818181818181815
