permutation_id	feature_set	outer_split	n_train	n_test	n_train_low	n_train_high	n_test_low	n_test_high	best_k	best_c	best_inner_balanced_accuracy	balanced_accuracy	roc_auc_low	mcc
1	residue_ligand	1	66	17	20	46	6	11	4	0.01	0.616111111111111	0.3181818181818182	0.4545454545454546	-0.40967324519935133
1	residue_ligand	2	66	17	21	45	5	12	12	1.0	0.5744444444444445	0.7333333333333334	0.6666666666666666	0.42600643361512924
1	residue_ligand	3	66	17	21	45	5	12	8	1.0	0.615	0.55	0.6000000000000001	0.09128709291752769
1	residue_ligand	4	67	16	21	46	5	11	8	10.0	0.5394444444444444	0.6727272727272727	0.6727272727272727	0.32277655457716287
1	residue_ligand	5	67	16	21	46	5	11	4	1.0	0.5644444444444444	0.5181818181818182	0.4545454545454545	0.034815531191139566
1	residue_ligand	6	66	17	20	46	6	11	all	0.1	0.5494444444444444	0.6439393939393939	0.5757575757575757	0.2878787878787879
1	residue_ligand	7	66	17	21	45	5	12	12	1.0	0.6883333333333332	0.5916666666666667	0.7	0.16735967034880075
1	residue_ligand	8	66	17	21	45	5	12	8	10.0	0.7072222222222222	0.5333333333333333	0.4666666666666666	0.06356417261637282
1	residue_ligand	9	67	16	21	46	5	11	all	10.0	0.7122222222222223	0.36363636363636365	0.27272727272727276	-0.32387513781564786
1	residue_ligand	10	67	16	21	46	5	11	12	10.0	0.548888888888889	0.6181818181818182	0.6181818181818182	0.22084711628963774
1	residue_ligand	11	66	17	20	46	6	11	all	0.01	0.5933333333333334	0.5151515151515151	0.5606060606060606	0.030303030303030304
1	residue_ligand	12	66	17	21	45	5	12	12	100.0	0.6661111111111111	0.6916666666666667	0.7166666666666667	0.34993385618385614
1	residue_ligand	13	66	17	21	45	5	12	all	1.0	0.5922222222222222	0.575	0.6166666666666667	0.15
1	residue_ligand	14	67	16	21	46	5	11	all	0.1	0.6716666666666666	0.42727272727272725	0.5090909090909091	-0.13483997249264842
1	residue_ligand	15	67	16	21	46	5	11	4	100.0	0.5916666666666667	0.4727272727272727	0.4363636363636364	-0.050964719143762556
1	residue_ligand	16	66	17	20	46	6	11	12	1.0	0.6244444444444444	0.46969696969696967	0.5151515151515151	-0.06356417261637282
1	residue_ligand	17	66	17	21	45	5	12	4	10.0	0.5894444444444444	0.5333333333333333	0.4166666666666667	0.06356417261637282
1	residue_ligand	18	66	17	21	45	5	12	all	10.0	0.6266666666666666	0.6583333333333333	0.6333333333333333	0.378489059622558
1	residue_ligand	19	67	16	21	46	5	11	all	0.1	0.5938888888888888	0.4727272727272727	0.4727272727272727	-0.050964719143762556
1	residue_ligand	20	67	16	21	46	5	11	4	0.01	0.6599999999999999	0.42727272727272725	0.3090909090909091	-0.13483997249264842
1	residue_ligand	21	66	17	20	46	6	11	12	0.1	0.6144444444444443	0.4772727272727273	0.5151515151515151	-0.04351941398892446
1	residue_ligand	22	66	17	21	45	5	12	12	0.01	0.5988888888888889	0.6333333333333333	0.5333333333333333	0.24688535993934707
1	residue_ligand	23	66	17	21	45	5	12	4	0.01	0.5566666666666666	0.65	0.75	0.27774602993176545
1	residue_ligand	24	67	16	21	46	5	11	12	1.0	0.6916666666666667	0.42727272727272725	0.5272727272727273	-0.13483997249264842
1	residue_ligand	25	67	16	21	46	5	11	all	100.0	0.5516666666666665	0.5727272727272728	0.6181818181818182	0.13483997249264842
1	residue_cofactor	1	66	17	20	46	6	11	10	1.0	0.5638888888888889	0.5606060606060606	0.6363636363636364	0.11769797726729993
1	residue_cofactor	2	66	17	21	45	5	12	10	100.0	0.5877777777777777	0.575	0.6	0.15
1	residue_cofactor	3	66	17	21	45	5	12	10	1.0	0.4727777777777778	0.675	0.8	0.3337119062359573
1	residue_cofactor	4	67	16	21	46	5	11	10	0.01	0.5488888888888889	0.5727272727272728	0.5818181818181818	0.13483997249264842
1	residue_cofactor	5	67	16	21	46	5	11	20	10.0	0.6211111111111112	0.3727272727272727	0.3818181818181818	-0.24370871833797697
