feature_set	outer_split_1	outer_split_2	n_selected_split_1	n_selected_split_2	intersection_size	union_size	jaccard_similarity
residue_ligand	1	2	21	21	21	21	1.0
residue_ligand	1	3	21	4	4	21	0.19047619047619047
residue_ligand	1	4	21	21	21	21	1.0
residue_ligand	1	5	21	12	12	21	0.5714285714285714
residue_ligand	1	6	21	21	21	21	1.0
residue_ligand	1	7	21	4	4	21	0.19047619047619047
residue_ligand	1	8	21	12	12	21	0.5714285714285714
residue_ligand	1	9	21	4	4	21	0.19047619047619047
residue_ligand	1	10	21	12	12	21	0.5714285714285714
residue_ligand	1	11	21	21	21	21	1.0
residue_ligand	1	12	21	21	21	21	1.0
residue_ligand	1	13	21	21	21	21	1.0
residue_ligand	1	14	21	12	12	21	0.5714285714285714
residue_ligand	1	15	21	4	4	21	0.19047619047619047
residue_ligand	1	16	21	12	12	21	0.5714285714285714
residue_ligand	1	17	21	4	4	21	0.19047619047619047
residue_ligand	1	18	21	21	21	21	1.0
residue_ligand	1	19	21	8	8	21	0.38095238095238093
residue_ligand	1	20	21	4	4	21	0.19047619047619047
residue_ligand	1	21	21	8	8	21	0.38095238095238093
residue_ligand	1	22	21	8	8	21	0.38095238095238093
residue_ligand	1	23	21	4	4	21	0.19047619047619047
residue_ligand	1	24	21	8	8	21	0.38095238095238093
residue_ligand	1	25	21	12	12	21	0.5714285714285714
residue_ligand	2	3	21	4	4	21	0.19047619047619047
residue_ligand	2	4	21	21	21	21	1.0
residue_ligand	2	5	21	12	12	21	0.5714285714285714
residue_ligand	2	6	21	21	21	21	1.0
residue_ligand	2	7	21	4	4	21	0.19047619047619047
residue_ligand	2	8	21	12	12	21	0.5714285714285714
residue_ligand	2	9	21	4	4	21	0.19047619047619047
residue_ligand	2	10	21	12	12	21	0.5714285714285714
residue_ligand	2	11	21	21	21	21	1.0
residue_ligand	2	12	21	21	21	21	1.0
residue_ligand	2	13	21	21	21	21	1.0
residue_ligand	2	14	21	12	12	21	0.5714285714285714
residue_ligand	2	15	21	4	4	21	0.19047619047619047
residue_ligand	2	16	21	12	12	21	0.5714285714285714
residue_ligand	2	17	21	4	4	21	0.19047619047619047
residue_ligand	2	18	21	21	21	21	1.0
residue_ligand	2	19	21	8	8	21	0.38095238095238093
residue_ligand	2	20	21	4	4	21	0.19047619047619047
residue_ligand	2	21	21	8	8	21	0.38095238095238093
residue_ligand	2	22	21	8	8	21	0.38095238095238093
residue_ligand	2	23	21	4	4	21	0.19047619047619047
residue_ligand	2	24	21	8	8	21	0.38095238095238093
residue_ligand	2	25	21	12	12	21	0.5714285714285714
residue_ligand	3	4	4	21	4	21	0.19047619047619047
