ligand_id	barrier
PV-008757770384	26.218
PV-008757900583	30.688
PV-008758319457	30.362
PV-008758448064	27.958
PV-008758567449	31.089
PV-008758737063	26.733
PV-008758845349	28.714
PV-008759176601	30.513
PV-008759292011	29.61
PV-008759292012	25.739
PV-008759682543	32.137
PV-008760102914	30.869
PV-008760566452	28.662
PV-008760598416	30.161
PV-008760775061	30.605
PV-008761084195	29.846
PV-008761610892	27.893
PV-008761710158	28.447
PV-008761780643	27.212
PV-008761780644	29.632
PV-008761814083	29.812
PV-008761836158	29.782
PV-008761836159	28.624
PV-008761836160	27.522
PV-008762155505	29.702
PV-008762348949	31.505
PV-008762892984	29.335
PV-008762980755	30.176
PV-008763200437	25.601
PV-008763273438	25.65
PV-008763360353	27.047
PV-008763640782	28.111
PV-008763640783	31.361
PV-008763640784	32.232
PV-008763728970	29.474
PV-008764318424	30.931
PV-008765179181	30.89
PV-008765328058	31.503
PV-008765546742	25.418
PV-008765810937	30.42
PV-008765810938	31.158
PV-008765810939	26.93
PV-008766013536	27.56
PV-008766033961	30.263
PV-008767128607	31.252
PV-008767128608	29.84
PV-008767251949	31.155
PV-008767411074	25.829
PV-008767544594	30.331
PV-008767612180	26.602
PV-008768317754	28.345
PV-008768515159	30.334
PV-008768623280	28.908
PV-008768638669	26.353
PV-008768827993	31.294
PV-008769142754	30.459
PV-008769162671	29.721
PV-008769381186	28.672
PV-008769671712	27.793
PV-008769775183	30.149
PV-008770025955	30.748
PV-008770051954	26.15
PV-008770114456	28.151
PV-008770311606	30.289
PV-008770425419	30.17
PV-008770637437	29.724
PV-008771812825	28.774
PV-008772811922	30.87
PV-008772956252	26.244
PV-008773179162	28.737
PV-008773400095	30.334
PV-008773405040	28.173
PV-008773530883	26.897
PV-008773613007	31.056
PV-008773714513	30.963
PV-008773717469	29.334
PV-008773819830	30.808
PV-008774016306	29.522
PV-008774017199	28.224
PV-008774017200	29.068
PV-008774133588	30.879
PV-008774327569	29.469
PV-008774877441	30.193
PV-008775010456	29.724
PV-008775077920	31.164
PV-008775077921	30.519
PV-008775091835	26.242
PV-008775634040	28.224
PV-008776894421	30.082
PV-008777014626	30.475
PV-008777246836	28.696
PV-008777518351	27.822
PV-008777526060	26.121
PV-008777526061	28.36
PV-008777649574	28.554
PV-008777721620	27.427
PV-008777807930	26.571
PV-008777921249	29.695
PV-008777921250	26.842
PV-008777921251	30.401
