feature_set	feature	n_features_in_set	selected_outer_folds	total_outer_folds	selection_frequency	mean_coefficient_for_low	median_coefficient_for_low	coefficient_std	mean_absolute_coefficient	median_absolute_coefficient	positive_direction_fraction	negative_direction_fraction	zero_direction_fraction	dominant_direction	dominant_direction_fraction	mean_outer_training_f_score	median_outer_training_f_score	stability_rank_within_feature_set
combined_all	PRO62-PRO1279	4086	25	25	1.0	2.1852357440902095	1.5901650919815586	1.989820449600086	2.1852357440902095	1.5901650919815586	1.0	0.0	0.0	towards_low	1.0	24.45739842972209	21.001633403507963	1
combined_all	PRO1275-PRO1276	4086	21	25	0.84	1.3799926663546205	0.9778252821435872	1.5647498022840796	1.4423821082690582	0.9778252821435872	0.9523809523809523	0.047619047619047616	0.0	towards_low	0.9523809523809523	15.88421662483532	14.91466083006246	2
combined_all	PRO90-PRO92	4086	20	25	0.8	1.3863183550454854	1.1327173930174157	1.2562398377277437	1.3863183550454854	1.1327173930174157	1.0	0.0	0.0	towards_low	1.0	14.567133511703512	14.305641193610134	3
combined_all	PRO1423-PRO1424	4086	15	25	0.6	0.8869720756014075	0.3815159596573508	1.2717032856102468	0.9440409671176978	0.3815159596573508	0.8666666666666667	0.13333333333333333	0.0	towards_low	0.8666666666666667	16.65138597085811	15.91543340884073	4
combined_all	PRO62-PRO1280	4086	13	25	0.52	0.650579025814265	0.4397052006963153	0.6866488407235196	0.7420135779999253	0.5825675396189413	0.8461538461538461	0.15384615384615385	0.0	towards_low	0.8461538461538461	13.148666110822713	13.18431438919446	5
combined_all	PRO6-PRO72	4086	9	25	0.36	1.2963709684991507	0.944583746557504	1.4756126854140563	1.2963709684991507	0.944583746557504	1.0	0.0	0.0	towards_low	1.0	12.462219099248664	12.28489558748341	6
combined_all	PRO88-PRO93	4086	9	25	0.36	-1.4177958251675962	-0.4675983352943914	1.4949257988227418	1.4177958251675962	0.4675983352943914	0.0	1.0	0.0	towards_high	1.0	12.568345414858648	11.145367845235317	7
combined_all	PRO86-PRO116	4086	9	25	0.36	0.7217829228613686	0.3768138702876802	0.7517298167216185	0.7217829228613686	0.3768138702876802	1.0	0.0	0.0	towards_low	1.0	11.687711437829186	10.823627734827635	8
combined_all	PRO111-PRO112	4086	7	25	0.28	0.4957127665510991	0.4538632749937608	0.34731174881203863	0.4957127665510991	0.4538632749937608	1.0	0.0	0.0	towards_low	1.0	15.711679993742107	13.6781002745415	9
combined_all	PRO85-PRO116	4086	6	25	0.24	0.4339102835105688	0.2595549000027758	0.42217580397954046	0.4339102835105688	0.2595549000027758	1.0	0.0	0.0	towards_low	1.0	10.594576607647621	10.465166203851112	10
combined_all	PRO94-PRO137	4086	5	25	0.2	0.7536872192075352	0.8983451672870109	0.4381220802657139	0.7536872192075352	0.8983451672870109	1.0	0.0	0.0	towards_low	1.0	10.107940800124315	10.302316194295033	11
combined_all	PRO1424-PRO1425	4086	5	25	0.2	0.5036588570571073	0.297193545108467	0.525669196025971	0.5036588570571073	0.297193545108467	1.0	0.0	0.0	towards_low	1.0	36.59685401087374	36.136054468080985	12
combined_all	PRO19-PRO147	4086	5	25	0.2	0.3694875403817141	0.291937607848075	0.2922053252430618	0.3694875403817141	0.291937607848075	1.0	0.0	0.0	towards_low	1.0	11.423170750121397	9.970759038720551	13
combined_all	PRO66-LIG	4086	5	25	0.2	0.1878342713963345	0.1988525788194398	0.09039629585488917	0.1878342713963345	0.1988525788194398	1.0	0.0	0.0	towards_low	1.0	11.67878772821985	11.653655723863034	14
combined_all	PRO79-PRO80	4086	5	25	0.2	0.22842078665868087	0.1436713256709021	0.5670513849005522	0.45315097231031365	0.5441224716565383	0.8	0.2	0.0	towards_low	0.8	15.559297769585163	11.972111563187726	15
